name,birth_date,age,gender,hometown,address,phone,exp_years
Vũ Ngọc Giang,11/5/1979,46,Nữ,Đà Nẵng,"465 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",970045771,6
Lý Trọng Khang,12/22/1963,62,Nam,Nghệ An,"284 Trần Hưng Đạo, Hoàng Mai, Hà Nội",361416309,11
Nguyễn Bảo Nhung,4/25/1993,33,Nữ,Thanh Hóa,"684 Phan Chu Trinh, Sầm Sơn, Thanh Hóa",337663279,1
Phan Ngọc Trinh,5/15/1992,34,Nữ,Khánh Hòa,"395 Nguyễn Trãi, Trảng Bom, Đồng Nai",671467055,5
Bùi Minh Vinh,12/31/1985,40,Nam,Cần Thơ,"74 Nguyễn Huệ, Lê Chân, Hải Phòng",435886401,5
Huỳnh Kim Phương,12/21/1976,49,Nữ,Đồng Nai,"647 Lê Lợi, Thuận An, Bình Dương",994283351,14
Phan Khánh Phương,5/16/1974,52,Nữ,Huế,"884 Lê Lợi, Biên Hòa, Đồng Nai",692240797,29
Hoàng Trọng Đạt,8/1/1995,31,Nam,Thanh Hóa,"375 Điện Biên Phủ, Thanh Khê, Đà Nẵng",393435792,2
Phan Phương Phương,10/11/1985,40,Nữ,Bình Dương,"586 Trần Hưng Đạo, Nha Trang, Khánh Hòa",135579407,7
Dương Đức Sơn,3/12/1981,45,Nam,Bình Dương,"634 Cách Mạng Tháng Tám, Lê Chân, Hải Phòng",160736285,8
Lê Thanh Lan,2/9/1996,30,Nữ,TP. Hồ Chí Minh,"799 Nguyễn Trãi, Diễn Châu, Nghệ An",789968379,7
Đỗ Thanh Bình,9/3/1974,52,Nam,Đồng Nai,"778 Nguyễn Huệ, Ô Môn, Cần Thơ",827006842,28
Đỗ Mỹ Mai,4/4/1976,50,Nữ,Nghệ An,"215 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",563727109,16
Trần Thị Hạnh,4/11/1989,37,Nữ,Nghệ An,"923 Trần Hưng Đạo, Cái Răng, Cần Thơ",324982097,7
Hoàng Đức Nam,7/31/1991,35,Nam,Nghệ An,"848 Nguyễn Trãi, Bình Thủy, Cần Thơ",618855924,8
Võ Quốc Sơn,9/25/1960,65,Nam,Đà Nẵng,"379 Nguyễn Trãi, Ngũ Hành Sơn, Đà Nẵng",697058275,9
Võ Phương Lan,4/10/1971,55,Nữ,Nghệ An,"583 Trần Hưng Đạo, Thuận Hóa, Huế",257178364,22
Lý Thanh Hạnh,8/6/1979,47,Nữ,Cần Thơ,"433 Nguyễn Huệ, Bình Thủy, Cần Thơ",862865410,7
Võ Đức Phong,6/3/1965,61,Nam,Đà Nẵng,"88 Lê Lợi, Bình Thủy, Cần Thơ",227023437,18
Huỳnh Thị Thảo,9/10/1994,32,Nữ,Cần Thơ,"649 Nguyễn Huệ, Thủ Dầu Một, Bình Dương",113055264,5
Phạm Hoàng Khang,3/22/1983,43,Nam,Thanh Hóa,"211 Lê Lợi, Hải Châu, Đà Nẵng",851162297,18
Vũ Thanh Dũng,9/9/1989,37,Nam,Khánh Hòa,"836 Phan Chu Trinh, Hải Châu, Đà Nẵng",484869823,7
Phạm Thanh Trang,8/4/1965,61,Nữ,Quảng Ninh,"390 Nguyễn Trãi, Kiến An, Hải Phòng",981153306,4
Đặng Trọng Minh,2/8/2001,25,Nam,TP. Hồ Chí Minh,"181 Lê Lợi, Thủ Đức, TP. Hồ Chí Minh",429531635,1
Trần Thị Ngân,8/20/1979,47,Nữ,Đồng Nai,"166 Điện Biên Phủ, Phú Xuân, Huế",851425673,21
Bùi Xuân Hùng,1/10/1976,50,Nam,TP. Hồ Chí Minh,"735 Cách Mạng Tháng Tám, Cam Ranh, Khánh Hòa",827462019,23
Nguyễn Khánh Phương,3/27/1965,61,Nữ,Huế,"798 Nguyễn Huệ, Cẩm Phả, Quảng Ninh",467570800,29
Đỗ Bảo Giang,1/21/1961,65,Nữ,TP. Hồ Chí Minh,"281 Hoàng Văn Thụ, Phú Xuân, Huế",592516072,35
Phan Ngọc Hạnh,7/12/1967,59,Nữ,Đà Nẵng,"97 Lê Lợi, Ngũ Hành Sơn, Đà Nẵng",801624536,31
Dương Phương Hương,11/25/1964,61,Nữ,Đà Nẵng,"725 Lê Lợi, Sầm Sơn, Thanh Hóa",941781775,15
Phan Đức Long,1/29/1986,40,Nam,Thanh Hóa,"681 Điện Biên Phủ, Ninh Hòa, Khánh Hòa",266787181,3
Phạm Kim Nhung,12/6/1992,33,Nữ,Đồng Nai,"886 Trần Hưng Đạo, Ngũ Hành Sơn, Đà Nẵng",114102597,10
Hoàng Thu Châu,3/25/1962,64,Nữ,Khánh Hòa,"282 Hai Bà Trưng, Nha Trang, Khánh Hòa",501052118,35
Võ Gia An,12/29/2000,25,Nam,Đồng Nai,"419 Trần Hưng Đạo, Trảng Bom, Đồng Nai",158470109,1
Phạm Trọng Nam,6/16/1971,55,Nam,Đồng Nai,"433 Nguyễn Trãi, Thủ Dầu Một, Bình Dương",971174604,8
Vũ Thanh Anh,5/26/1996,30,Nữ,Khánh Hòa,"493 Lê Lợi, Cầu Giấy, Hà Nội",408907447,2
Lê Minh Hải,3/3/1994,32,Nam,Cần Thơ,"504 Nguyễn Huệ, Biên Hòa, Đồng Nai",104138466,3
Đỗ Xuân Quân,12/3/1993,32,Nam,Khánh Hòa,"103 Lê Lợi, Ngô Quyền, Hải Phòng",678269939,9
Đặng Văn Phong,6/4/1983,43,Nam,Cần Thơ,"648 Nguyễn Huệ, Quận 7, TP. Hồ Chí Minh",708249313,10
Đỗ Thanh Ngân,8/16/1966,60,Nữ,Bình Dương,"972 Cách Mạng Tháng Tám, Bình Thủy, Cần Thơ",712585494,16
Đỗ Thanh Sơn,2/24/1983,43,Nam,Quảng Ninh,"94 Nguyễn Trãi, Quỳnh Lưu, Nghệ An",372764051,7
Phạm Thị Thảo,8/27/1992,34,Nữ,Quảng Ninh,"862 Hoàng Văn Thụ, Sầm Sơn, Thanh Hóa",637442807,3
Huỳnh Diệu Thảo,1/5/1997,29,Nữ,Quảng Ninh,"260 Nguyễn Huệ, Sầm Sơn, Thanh Hóa",829981465,4
Đỗ Phương Quỳnh,11/15/1984,41,Nữ,Nghệ An,"763 Lý Thường Kiệt, Lê Chân, Hải Phòng",464667418,17
Hồ Hoàng Long,4/7/2001,25,Nam,Hải Phòng,"736 Lê Lợi, Vinh, Nghệ An",323215065,1
Lê Phương My,12/6/1989,36,Nữ,Bình Dương,"424 Hoàng Văn Thụ, Kiến An, Hải Phòng",893082893,1
Lê Gia Anh,4/23/1965,61,Nam,Đồng Nai,"849 Cách Mạng Tháng Tám, Sầm Sơn, Thanh Hóa",943538466,21
Lê Ngọc Vy,3/2/1969,57,Nữ,Hà Nội,"126 Nguyễn Huệ, Bình Thạnh, TP. Hồ Chí Minh",10792274,17
Ngô Trọng Phong,4/14/1981,45,Nam,Khánh Hòa,"433 Trần Hưng Đạo, Kiến An, Hải Phòng",841398498,22
Hồ Thanh Tuấn,9/27/1981,44,Nam,Cần Thơ,"562 Hoàng Văn Thụ, Uông Bí, Quảng Ninh",620863505,4
Võ Hoàng Dũng,6/21/1970,56,Nam,Hà Nội,"444 Điện Biên Phủ, Hồng Bàng, Hải Phòng",170372315,20
Phạm Diệu Linh,8/12/1989,37,Nữ,Khánh Hòa,"832 Hai Bà Trưng, Nha Trang, Khánh Hòa",867515684,13
Đặng Hoàng Minh,4/17/1966,60,Nam,Đồng Nai,"68 Nguyễn Huệ, Ngũ Hành Sơn, Đà Nẵng",193487964,37
Dương Văn Dũng,8/25/1986,40,Nam,Đồng Nai,"169 Trần Hưng Đạo, Biên Hòa, Đồng Nai",507209230,6
Nguyễn Diệu Lan,12/7/1992,33,Nữ,Đồng Nai,"170 Lê Lợi, Hai Bà Trưng, Hà Nội",378429410,8
Ngô Đức Minh,11/9/1976,49,Nam,Thanh Hóa,"146 Phan Chu Trinh, Cam Ranh, Khánh Hòa",963828103,21
Bùi Minh An,10/28/1983,42,Nam,Thanh Hóa,"258 Cách Mạng Tháng Tám, Dĩ An, Bình Dương",495857271,15
Hoàng Bảo Lan,1/14/1993,33,Nữ,Đà Nẵng,"897 Hai Bà Trưng, Sơn Trà, Đà Nẵng",219331963,9
Lý Xuân Đức,11/11/1999,26,Nam,Đồng Nai,"683 Phan Chu Trinh, Hồng Bàng, Hải Phòng",388342095,3
Hồ Trọng Hùng,11/14/1978,47,Nam,TP. Hồ Chí Minh,"605 Điện Biên Phủ, Thủ Dầu Một, Bình Dương",711176688,10
Dương Thu Nhung,8/30/1979,47,Nữ,Đồng Nai,"858 Phan Chu Trinh, Long Khánh, Đồng Nai",579973228,5
Phan Khánh Anh,1/4/1982,44,Nữ,Thanh Hóa,"682 Nguyễn Huệ, Sơn Trà, Đà Nẵng",754033907,21
Nguyễn Hoàng Hiếu,12/8/1970,55,Nam,Cần Thơ,"820 Hai Bà Trưng, Dĩ An, Bình Dương",494103199,7
Bùi Kim Mai,2/9/1962,64,Nữ,Đà Nẵng,"438 Nguyễn Trãi, Quận 3, TP. Hồ Chí Minh",145767120,29
Đỗ Thanh An,8/6/1992,34,Nam,Thanh Hóa,"652 Lý Thường Kiệt, Ngũ Hành Sơn, Đà Nẵng",473738990,11
Nguyễn Hữu Hùng,8/21/1984,42,Nam,TP. Hồ Chí Minh,"591 Phan Chu Trinh, Thuận Hóa, Huế",688475924,18
Đỗ Thanh My,1/20/1964,62,Nữ,TP. Hồ Chí Minh,"548 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai",179670792,33
Lê Thu Hà,8/19/2000,26,Nữ,Nghệ An,"699 Cách Mạng Tháng Tám, Bỉm Sơn, Thanh Hóa",723836274,3
Bùi Thị Giang,8/25/1986,40,Nữ,Nghệ An,"743 Nguyễn Huệ, Ngô Quyền, Hải Phòng",566081118,16
Võ Trọng Nam,3/6/1991,35,Nam,Bình Dương,"412 Điện Biên Phủ, Ninh Hòa, Khánh Hòa",783677544,5
Lê Thị Yến,6/2/1994,32,Nữ,Hà Nội,"875 Trần Hưng Đạo, Hai Bà Trưng, Hà Nội",993732076,6
Phạm Văn Minh,5/14/1965,61,Nam,Hải Phòng,"631 Phan Chu Trinh, Ô Môn, Cần Thơ",938683182,23
Phan Thanh Tuấn,4/3/1975,51,Nam,Bình Dương,"583 Nguyễn Trãi, Ninh Hòa, Khánh Hòa",633112093,6
Võ Diệu Quỳnh,9/7/1965,61,Nữ,Quảng Ninh,"121 Nguyễn Huệ, Quận 7, TP. Hồ Chí Minh",760001742,2
Phạm Khánh Trang,12/5/1970,55,Nữ,Quảng Ninh,"802 Nguyễn Huệ, Diễn Châu, Nghệ An",304734520,29
Lý Ngọc Nhung,3/12/1997,29,Nữ,Cần Thơ,"640 Điện Biên Phủ, Thuận Hóa, Huế",41419428,4
Huỳnh Phương Nga,6/8/1976,50,Nữ,Đồng Nai,"131 Lê Lợi, Sầm Sơn, Thanh Hóa",517085314,24
Nguyễn Khánh My,5/19/1963,63,Nữ,Bình Dương,"25 Cách Mạng Tháng Tám, Bình Thạnh, TP. Hồ Chí Minh",459185326,12
Võ Thị Lan,2/28/1985,41,Nữ,Thanh Hóa,"420 Hai Bà Trưng, Thủ Đức, TP. Hồ Chí Minh",467297756,12
Nguyễn Đức Tuấn,12/11/1977,48,Nam,Đà Nẵng,"832 Hai Bà Trưng, Trảng Bom, Đồng Nai",904711089,20
Võ Gia Đạt,7/3/1976,50,Nam,Hải Phòng,"793 Lê Lợi, Nha Trang, Khánh Hòa",634255503,17
Bùi Thanh Hùng,10/18/1973,52,Nam,TP. Hồ Chí Minh,"692 Nguyễn Huệ, Thuận Hóa, Huế",755985726,13
Lý Hoàng Thành,4/26/1966,60,Nam,Thanh Hóa,"246 Cách Mạng Tháng Tám, Diễn Châu, Nghệ An",757691193,19
Bùi Diệu Nhung,7/19/1975,51,Nữ,TP. Hồ Chí Minh,"516 Lê Lợi, Ninh Kiều, Cần Thơ",783412088,26
Lý Bảo Châu,9/19/1992,34,Nữ,Đà Nẵng,"823 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai",739627769,8
Lê Văn Tuấn,1/26/1982,44,Nam,TP. Hồ Chí Minh,"885 Nguyễn Huệ, TP. Thanh Hóa, Thanh Hóa",255526494,12
Dương Diệu Lan,2/24/1966,60,Nữ,Quảng Ninh,"771 Nguyễn Huệ, Kiến An, Hải Phòng",902917624,7
Đặng Quốc Đức,3/16/1987,39,Nam,Quảng Ninh,"509 Điện Biên Phủ, Lê Chân, Hải Phòng",958965911,16
Huỳnh Hoàng Tuấn,2/25/1999,27,Nam,Khánh Hòa,"99 Nguyễn Huệ, Ninh Hòa, Khánh Hòa",889675534,1
Bùi Trọng Đức,10/31/1970,55,Nam,Hà Nội,"861 Hai Bà Trưng, Thuận Hóa, Huế",992408608,3
Phan Xuân Hiếu,2/1/1980,46,Nam,Quảng Ninh,"683 Cách Mạng Tháng Tám, Thuận Hóa, Huế",25980231,17
Dương Mỹ Giang,11/30/1998,27,Nữ,TP. Hồ Chí Minh,"672 Hoàng Văn Thụ, Gò Vấp, TP. Hồ Chí Minh",467908817,2
Ngô Diệu Châu,8/3/2001,25,Nữ,Cần Thơ,"970 Phan Chu Trinh, Ninh Hòa, Khánh Hòa",572027806,2
Hồ Văn Anh,4/22/1972,54,Nam,Hải Phòng,"943 Lý Thường Kiệt, Hạ Long, Quảng Ninh",197677457,3
Nguyễn Minh Phong,1/19/1991,35,Nam,Quảng Ninh,"648 Hoàng Văn Thụ, Quận 1, TP. Hồ Chí Minh",636814520,6
Dương Thanh Nga,12/6/1980,45,Nữ,Đồng Nai,"460 Cách Mạng Tháng Tám, Quận 7, TP. Hồ Chí Minh",828738294,1
Huỳnh Quốc Phong,5/14/1986,40,Nam,Thanh Hóa,"26 Nguyễn Huệ, Biên Hòa, Đồng Nai",799224522,15
Lý Khánh Hà,5/2/1966,60,Nữ,Hải Phòng,"724 Lý Thường Kiệt, Sơn Trà, Đà Nẵng",965258129,14
Võ Thanh Giang,11/7/1975,50,Nữ,Huế,"592 Lý Thường Kiệt, Thủ Dầu Một, Bình Dương",390220153,22
Dương Gia Tuấn,9/17/1984,42,Nam,Thanh Hóa,"206 Cách Mạng Tháng Tám, Lê Chân, Hải Phòng",768889807,19
Huỳnh Phương My,8/8/1972,54,Nữ,Khánh Hòa,"187 Cách Mạng Tháng Tám, Uông Bí, Quảng Ninh",706729031,11
Hồ Hữu Long,11/23/1992,33,Nam,Hà Nội,"91 Nguyễn Huệ, Đống Đa, Hà Nội",430593820,1
Phạm Bảo Anh,4/2/1994,32,Nữ,Nghệ An,"557 Hoàng Văn Thụ, Ngô Quyền, Hải Phòng",142787120,1
Trần Thanh Trang,9/15/1981,45,Nữ,Khánh Hòa,"275 Hai Bà Trưng, Quận 1, TP. Hồ Chí Minh",950432250,10
Hồ Kim Yến,9/20/1999,27,Nữ,Khánh Hòa,"985 Lê Lợi, Phú Xuân, Huế",836477380,2
Ngô Thu Hương,5/7/1975,51,Nữ,Nghệ An,"415 Điện Biên Phủ, Uông Bí, Quảng Ninh",89205556,21
Vũ Thanh Ngân,5/26/1966,60,Nữ,Quảng Ninh,"619 Cách Mạng Tháng Tám, Ninh Kiều, Cần Thơ",615145597,26
Đỗ Thanh An,12/12/1975,50,Nam,Hà Nội,"700 Nguyễn Trãi, Hai Bà Trưng, Hà Nội",378631835,2
Đặng Xuân Minh,5/23/1975,51,Nam,TP. Hồ Chí Minh,"575 Hai Bà Trưng, Biên Hòa, Đồng Nai",221319388,2
Võ Trọng Minh,8/29/1984,42,Nam,Hải Phòng,"319 Lê Lợi, Long Khánh, Đồng Nai",711735628,19
Huỳnh Ngọc Giang,9/14/1965,61,Nữ,Quảng Ninh,"376 Điện Biên Phủ, Phú Xuân, Huế",964647348,19
Lê Hoàng Nam,8/6/2001,25,Nam,Cần Thơ,"194 Cách Mạng Tháng Tám, Hoàng Mai, Hà Nội",567440723,2
Bùi Diệu Lan,2/28/1992,34,Nữ,Huế,"8 Phan Chu Trinh, Thủ Đức, TP. Hồ Chí Minh",467274508,11
Võ Hoàng An,11/13/1991,34,Nam,Hải Phòng,"293 Điện Biên Phủ, TP. Thanh Hóa, Thanh Hóa",334476079,3
Nguyễn Minh Anh,9/4/1976,50,Nam,Cần Thơ,"164 Hai Bà Trưng, Thuận Hóa, Huế",587868503,14
Lý Trọng Phong,4/25/1993,33,Nam,TP. Hồ Chí Minh,"394 Nguyễn Trãi, Trảng Bom, Đồng Nai",141719295,4
Đặng Ngọc Yến,10/17/1961,64,Nữ,Đồng Nai,"912 Lý Thường Kiệt, Thuận An, Bình Dương",303049881,20
Phạm Phương Ngân,8/25/1966,60,Nữ,Thanh Hóa,"546 Hoàng Văn Thụ, Nha Trang, Khánh Hòa",925880560,9
Phạm Gia Sơn,2/9/1975,51,Nam,Khánh Hòa,"158 Lê Lợi, Trảng Bom, Đồng Nai",313244403,3
Hoàng Kim Nga,5/7/1967,59,Nữ,Quảng Ninh,"137 Điện Biên Phủ, Cầu Giấy, Hà Nội",877075919,8
Bùi Xuân Việt,9/26/1961,64,Nam,Đồng Nai,"361 Lý Thường Kiệt, Thủ Đức, TP. Hồ Chí Minh",273986904,23
Trần Hữu Long,12/13/1994,31,Nam,Cần Thơ,"418 Lê Lợi, Đống Đa, Hà Nội",999731491,3
Hồ Quốc Tuấn,7/9/1991,35,Nam,Bình Dương,"136 Cách Mạng Tháng Tám, Thủ Dầu Một, Bình Dương",227947359,3
Phan Diệu Lan,10/6/1973,52,Nữ,Hải Phòng,"276 Nguyễn Trãi, Hồng Bàng, Hải Phòng",249832752,14
Võ Văn Hiếu,6/1/1970,56,Nam,Đà Nẵng,"211 Hoàng Văn Thụ, Ngũ Hành Sơn, Đà Nẵng",287267421,16
Phan Phương Trinh,10/7/1983,42,Nữ,TP. Hồ Chí Minh,"316 Cách Mạng Tháng Tám, Thanh Khê, Đà Nẵng",21021413,13
Phan Thanh Hà,11/3/1981,44,Nữ,Huế,"708 Trần Hưng Đạo, Bỉm Sơn, Thanh Hóa",722192812,12
Đặng Hoàng Thành,8/16/1983,43,Nam,Nghệ An,"631 Lý Thường Kiệt, Vinh, Nghệ An",236876563,10
Phan Minh Thành,1/6/1992,34,Nam,Khánh Hòa,"465 Trần Hưng Đạo, Lê Chân, Hải Phòng",133699138,5
Phạm Hoàng Phong,10/3/1974,51,Nam,Đồng Nai,"849 Trần Hưng Đạo, Thanh Khê, Đà Nẵng",848326513,10
Hồ Xuân Minh,1/25/1995,31,Nam,Đồng Nai,"982 Nguyễn Trãi, Cẩm Phả, Quảng Ninh",120499308,7
Phan Minh Khang,8/4/1998,28,Nam,Đà Nẵng,"425 Hai Bà Trưng, Bỉm Sơn, Thanh Hóa",613983340,3
Võ Ngọc Mai,5/21/1992,34,Nữ,Quảng Ninh,"629 Lê Lợi, Thủ Đức, TP. Hồ Chí Minh",715368760,4
Phan Văn Đức,11/15/1963,62,Nam,Bình Dương,"50 Nguyễn Huệ, Bình Thạnh, TP. Hồ Chí Minh",215883356,38
Lê Thanh Hà,10/31/1970,55,Nữ,Hà Nội,"148 Lý Thường Kiệt, Gò Vấp, TP. Hồ Chí Minh",41794480,26
Huỳnh Thanh Mai,12/13/1991,34,Nữ,Hà Nội,"719 Phan Chu Trinh, Ngũ Hành Sơn, Đà Nẵng",590100782,7
Vũ Gia Tuấn,9/16/1984,42,Nam,Đà Nẵng,"704 Trần Hưng Đạo, Biên Hòa, Đồng Nai",379698970,11
Võ Hoàng Hùng,6/16/1990,36,Nam,Bình Dương,"485 Cách Mạng Tháng Tám, Bỉm Sơn, Thanh Hóa",703649527,7
Nguyễn Xuân Minh,7/4/1972,54,Nam,Hải Phòng,"400 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai",976712788,20
Hồ Phương My,8/5/1988,38,Nữ,Quảng Ninh,"199 Nguyễn Huệ, Quận 1, TP. Hồ Chí Minh",372750647,5
Vũ Hoàng Bình,12/20/1961,64,Nam,Khánh Hòa,"474 Nguyễn Trãi, Dĩ An, Bình Dương",138256758,28
Nguyễn Gia Bình,9/17/1971,55,Nam,Hải Phòng,"65 Hai Bà Trưng, Quỳnh Lưu, Nghệ An",459111451,12
Nguyễn Xuân Nam,3/20/1996,30,Nam,Nghệ An,"586 Lê Lợi, Phú Xuân, Huế",583074776,4
Lý Khánh Hương,4/20/1988,38,Nữ,Cần Thơ,"456 Hoàng Văn Thụ, Ngô Quyền, Hải Phòng",787985443,7
Trần Diệu Thảo,10/10/1967,58,Nữ,Bình Dương,"601 Nguyễn Huệ, Ninh Kiều, Cần Thơ",559868747,16
Ngô Thị Trinh,9/16/1988,38,Nữ,Huế,"898 Trần Hưng Đạo, Cẩm Phả, Quảng Ninh",290696143,1
Dương Mỹ Quỳnh,5/2/1993,33,Nữ,Quảng Ninh,"145 Nguyễn Trãi, Hoàng Mai, Hà Nội",846071153,1
Ngô Ngọc Thảo,3/20/1977,49,Nữ,Hà Nội,"927 Cách Mạng Tháng Tám, Phú Xuân, Huế",593797369,16
Đỗ Thanh Hiếu,3/11/2000,26,Nam,Cần Thơ,"215 Nguyễn Trãi, Long Khánh, Đồng Nai",701157879,1
Huỳnh Thanh Châu,3/17/1995,31,Nữ,Đà Nẵng,"478 Cách Mạng Tháng Tám, Ninh Hòa, Khánh Hòa",833793254,8
Bùi Phương Ngân,4/14/1971,55,Nữ,Thanh Hóa,"590 Nguyễn Huệ, Bỉm Sơn, Thanh Hóa",921478690,27
Hồ Thanh Dũng,7/8/1999,27,Nam,Cần Thơ,"523 Nguyễn Trãi, Uông Bí, Quảng Ninh",236213118,2
Võ Thị Mai,10/30/1987,38,Nữ,Khánh Hòa,"96 Lê Lợi, Hoàng Mai, Hà Nội",374572342,11
Hồ Gia Hùng,2/2/1987,39,Nam,Bình Dương,"734 Hai Bà Trưng, Thuận Hóa, Huế",897131665,12
Phan Gia Quân,2/12/1976,50,Nam,Khánh Hòa,"459 Nguyễn Trãi, Kiến An, Hải Phòng",118221756,9
Ngô Phương Lan,2/3/2000,26,Nữ,Nghệ An,"257 Lê Lợi, Quỳnh Lưu, Nghệ An",479493481,3
Hoàng Thị Thảo,4/16/1981,45,Nữ,Bình Dương,"764 Nguyễn Trãi, Nha Trang, Khánh Hòa",73590457,5
Trần Mỹ Vy,10/2/1986,39,Nữ,Bình Dương,"962 Lý Thường Kiệt, Hoàng Mai, Hà Nội",318084195,6
Dương Bảo Mai,2/24/2001,25,Nữ,Huế,"381 Lê Lợi, Cầu Giấy, Hà Nội",620991509,2
Võ Thanh Nam,1/15/1996,30,Nam,Hải Phòng,"135 Nguyễn Huệ, Cửa Lò, Nghệ An",208785953,4
Lý Xuân Sơn,12/9/1985,40,Nam,Bình Dương,"85 Nguyễn Trãi, Thuận Hóa, Huế",556257842,10
Hoàng Kim Nhung,8/8/1984,42,Nữ,Đồng Nai,"410 Lê Lợi, Uông Bí, Quảng Ninh",520910782,14
Phạm Mỹ Trinh,6/11/1987,39,Nữ,Hải Phòng,"334 Lý Thường Kiệt, Bỉm Sơn, Thanh Hóa",350493272,12
Bùi Bảo Quỳnh,9/9/1968,58,Nữ,TP. Hồ Chí Minh,"568 Cách Mạng Tháng Tám, Nha Trang, Khánh Hòa",778602460,18
Nguyễn Trọng Vinh,6/15/1969,57,Nam,Bình Dương,"383 Lý Thường Kiệt, Vinh, Nghệ An",761958562,17
Lê Đức Thành,5/27/1985,41,Nam,Hà Nội,"315 Trần Hưng Đạo, Kiến An, Hải Phòng",762756531,12
Phan Diệu Anh,10/19/1978,47,Nữ,Thanh Hóa,"55 Nguyễn Trãi, Hoàng Mai, Hà Nội",787173574,19
Nguyễn Đức Dũng,5/6/1961,65,Nam,Bình Dương,"74 Nguyễn Huệ, Biên Hòa, Đồng Nai",96889901,7
Lê Thanh Ngân,10/15/1985,40,Nữ,Bình Dương,"615 Lê Lợi, Ninh Kiều, Cần Thơ",494136586,1
Huỳnh Hữu Việt,5/13/1986,40,Nam,Đồng Nai,"658 Hoàng Văn Thụ, Lê Chân, Hải Phòng",570823762,9
Vũ Đức Thành,3/4/1988,38,Nam,Đà Nẵng,"45 Nguyễn Huệ, Biên Hòa, Đồng Nai",186827464,8
Huỳnh Phương Linh,6/12/1983,43,Nữ,Khánh Hòa,"138 Trần Hưng Đạo, Ba Đình, Hà Nội",543507123,6
Võ Hoàng Anh,10/29/1990,35,Nam,Đồng Nai,"335 Hai Bà Trưng, Ngô Quyền, Hải Phòng",555180321,5
Ngô Trọng Tuấn,5/21/1979,47,Nam,Huế,"677 Lê Lợi, Hạ Long, Quảng Ninh",989049355,22
Trần Đức An,11/14/1996,29,Nam,TP. Hồ Chí Minh,"503 Lê Lợi, Bỉm Sơn, Thanh Hóa",248105011,1
Ngô Khánh Anh,6/14/1990,36,Nữ,Hải Phòng,"62 Phan Chu Trinh, Nha Trang, Khánh Hòa",60760497,6
Hồ Mỹ Nhung,7/24/1978,48,Nữ,Nghệ An,"903 Lê Lợi, Cái Răng, Cần Thơ",757870948,8
Ngô Mỹ Giang,9/18/2001,25,Nữ,Cần Thơ,"325 Nguyễn Trãi, Hồng Bàng, Hải Phòng",326306809,1
Phạm Gia Minh,2/7/1966,60,Nam,Hải Phòng,"813 Nguyễn Huệ, Dĩ An, Bình Dương",531934758,16
